Districts,Location,Company Name,Company Type,Machine Type,Product Type,Block Type,Company Category,Company Size,Contact,Website,Map,Status,has_website,has_contact,is_eco,is_operational,modernization_score,size_score,is_high_risk,competitor_tier
Mancherial,"Andgulapet, Telangana 504209, India",Aditya Cement Products,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,"Fly Ash Block, Pavers",Fly Ash Brick Plant,Large,9078562572,,https://maps.app.goo.gl/QYkUGJUNem6X7v7AA,Running,False,True,True,True,2,3,False,Tier 2 — Semi Automatic
Mancherial,"Laxetipet road medariwada mancherial 505208, Mancherial, Telangana 504208, India",Rohan cladding stones,Manufacturing,Hand Made,Fly Ash Brick,"Tiles, Pavers",Fly Ash Brick Plant,Large,7036066881,,https://maps.app.goo.gl/enM9aKW4H4ug18ZF6,Running,False,True,True,True,1,3,False,Tier 3 — Hand Made
Mancherial,"Kannal Rural, Telangana 504251, India",LALITHA POWER BRICKS,Manufacturing,Fully Automatic Machine Made,Fly Ash Brick,Interlocking Block,Fully Automatic Fly Ash Brick Plant,Moderate,,,https://maps.app.goo.gl/i8YarcuSx8rzrjX39,Running,False,False,True,True,3,2,False,Tier 1 — Fully Automatic
Mancherial,"near Vinayaka Restaurant, Elkalapalli, Ramagundam, Telangana 505210, India",Hanuman constructions fly ash cement bricks,Manufacturing,Fully Automatic Machine Made,Fly Ash Brick,Fly Ash Block,Fully Automatic Fly Ash Brick Plant,Large,9182600625,,https://maps.app.goo.gl/E2zRTQwn9Y75Dow77,Running,False,True,True,True,3,3,False,Tier 1 — Fully Automatic
Mancherial,"Old Mancherial Godavari Rd, Old Town, Mancherial, Telangana 504209, India",Manikanta bricks,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Moderate,,,https://maps.app.goo.gl/rQWYMjwkXn8j7qDB9,Permanently Closed,False,False,True,False,1,2,False,Tier 3 — Hand Made
Mancherial,"Tekumatla, opp. Rythu Vedika, Mancherial, Telangana 504216, India",Sri Rajarajeshwara Flyash Bricks,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Moderate,9866948386,,https://maps.app.goo.gl/grbBizzk551s5hFJA,Temporarily Closed,False,True,True,False,2,2,False,Tier 2 — Semi Automatic
Mancherial,"Teegalapahad, Mancherial, Telangana 504302, India",Naga pelli Laxmi Narasimha Swamy fly ash bricks,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,Fly Ash Block,Fully Automatic Fly Ash Brick Plant,Large,,,https://maps.app.goo.gl/hczLo9VZBgqrTXM79,Temporarily Closed,False,False,True,False,2,3,False,Tier 2 — Semi Automatic
Nirmal,"Nirmal, Telangana 504106, India",YAHYA NOOR CEMENT BRICKS INDUSTRY,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Moderate,8185987868,,https://maps.app.goo.gl/5ihvgpqEukJ4NV8L7,Running,False,True,True,True,1,2,False,Tier 3 — Hand Made
Nirmal,"Gajulpet Langdapur, Vengwapet, Nirmal, Telangana 504110, India",MRA BRICKS,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,7569327414,,https://maps.app.goo.gl/yLoibWZtVSGGvuQd8,Running,False,True,False,True,1,3,True,Tier 3 — Hand Made
Nirmal,"Nirmal, Telangana 504110, India",ECO BLOCKS,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,8688887700,,https://maps.app.goo.gl/XDAG8tZBn6LDuTzx5,Running,False,True,True,True,1,1,False,Tier 3 — Hand Made
Nirmal,"Sofinagar, Nirmal, Telangana 504106, India",CRESCENT BRICKS AND TILES,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Moderate,,http://crescentbricksandtiles.com/,https://maps.app.goo.gl/zRZx315tix5s5W217,Permanently Closed,True,False,False,False,1,2,True,Tier 3 — Hand Made
Nirmal,"Dwarakanagar, Priyadarshini Nagar, Nirmal, Telangana 504106, India",Sri mahalaxmi cement bricks industry,Manufacturing,Hand Made,Fly Ash Brick,"Fly Ash Block, Pavers",Fly Ash Brick Plant,Small,,,https://maps.app.goo.gl/vCGMah9BDPzVUV8S7,Permanently Closed,False,False,True,False,1,1,False,Tier 3 — Hand Made
