Districts,Location,Founder,Company Name,Company Type,Machine Type,Product Type,Block Type,Company Category,Company Size,Contact,Website,Map,Status
Peddapalli,"Andugulapally, Telangana 505174, India",Not Specified,Anirudh fly ash bricks,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,Fly Ash Block,Fully Automatic Fly Ash Brick Plant,Large,9989543417,Not Specified,https://maps.app.goo.gl/vMcHa8tNpn8WsW8R9,Running
Peddapalli,"Nagunur Rd, Karimnagar, Jyothi Nagar, Telangana 505415, India",Not Specified,Shraddha cement Articles and Bricks,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,Not Specified,Not Specified,https://maps.app.goo.gl/ZwtF4gbtn3GXzhUk8,Running
Peddapalli,"Gowreddipeta, Telangana 505174, India",Not Specified,LNC BRICKS MANUFACTURER,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,9908937513,Not Specified,https://maps.app.goo.gl/w2CtC91uzxSrpDah7,Running
Peddapalli,"beside VSR BRICKS, Raghavapur, Peddapalli, Telangana 505174, India",Not Specified,ASR BRICKS INDUSTRIES,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,Not Specified,Not Specified,https://maps.app.goo.gl/iaV49GvSaohzLNqq8,Running
Peddapalli,"Gowreddypeta, Peddapalli, Telangana 505174, India",Not Specified,BBI BRICKS,Manufacturing,Not Specified,Not Specified,Not Specified,Traditional Clay Factory,Not Specified,Not Specified,Not Specified,https://maps.app.goo.gl/46fQAiPr3zewH1VD8,Temporarily Closed
Kamareddy,"Kamareddy, Raghavapur, Telangana 503112, India",Not Specified,KRR BRICKS COMPANY,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,Not Specified,Not Specified,https://maps.app.goo.gl/XukeihuwyBrSZ9Gj8,Running
Rajanna Sircilla,"Back side of filterbed, Chandragiri, Telangana 505302, India",Not Specified,N.K.M BRICKS FACTORY,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,8897226203,Not Specified,https://maps.app.goo.gl/nzsNYWdpTdNVbgfA9,Running
Rajanna Sircilla,"Sircilla Rd, Telangana 505302, India",Not Specified,MAHALAXMI AAC BLOCKS,Manufacturing, Fully Automatic Machine Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Large,Not Specified,Not Specified,https://maps.app.goo.gl/t2fEspo12kP8cxus8,Running
Rajanna Sircilla,"SH 11, Sircilla, Telangana 505301, India",Not Specified,Rajeshwari cement bricks & works,Manufacturing,Hand Made,Fly Ash Brick,Wall,Fly Ash Brick Plant,Moderate,9347925529,Not Specified,https://maps.app.goo.gl/R6EV4Khovg4m1M626,permanently closed
Rajanna Sircilla,"H.No. 3, 26/A, Karimnagar - Sircilla Rd, opp. Sub Station, Sircilla Rural, Telangana 505301, India",Not Specified,Raja Rajeshwara Cement Bricks Industries,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,9490101855,Not Specified,https://maps.app.goo.gl/CH8tFWFpC4gtLyrMA,permanently closed
Rajanna Sircilla,"CR7F+783, Ragudu, Sircilla Rural, Telangana 505301, India",Not Specified,SRI RAMA SAI CEMENT BRICKS,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,Not Specified,Not Specified,https://maps.app.goo.gl/vNoE8mkmR6NSgAsv7,permanently closed
